"","rename","Species","names"
"29","Neisseriaceae_Neisseria_JQ455301.1.1383","uncultured bacterium","JQ455301.1.1383_beta_extraction"
"30","Neisseriaceae_Neisseria_GQ158287.1.1412","uncultured bacterium","GQ158287.1.1412_beta_extraction"
"31","Neisseriaceae_Neisseria_JQ471404.1.1407","uncultured bacterium","JQ471404.1.1407_beta_extraction"
"32","Neisseriaceae_Kingella_JQ462722.1.1390","uncultured bacterium","JQ462722.1.1390_beta_extraction"
"33","Neisseriaceae_Neisseria_KF098154.1.1370","uncultured bacterium","KF098154.1.1370_beta_extraction"
"34","Neisseriaceae_Conchiformibius_KF102006.1.1361","uncultured bacterium","KF102006.1.1361_beta_extraction"
"35","Neisseriaceae_Neisseria_JF152413.1.1362","uncultured bacterium","JF152413.1.1362_beta_extraction"
"36","Neisseriaceae_Neisseria_JQ450654.1.1387","uncultured bacterium","JQ450654.1.1387_beta_extraction"
"37","Neisseriaceae_Neisseria_JQ453278.1.1401","uncultured bacterium","JQ453278.1.1401_beta_extraction"
"38","Neisseriaceae_Neisseria_JQ453442.1.1402","uncultured bacterium","JQ453442.1.1402_beta_extraction"
"39","Neisseriaceae_Neisseria_JF117234.1.1362","uncultured bacterium","JF117234.1.1362_beta_extraction"
"40","Neisseriaceae_Neisseria_JQ958870.1.1334","Neisseria sp. 104(2012)","JQ958870.1.1334_beta_extraction"
"41","Neisseriaceae_Neisseria_JF189482.1.1362","uncultured bacterium","JF189482.1.1362_beta_extraction"
"42","Neisseriaceae_uncultured_HM341905.1.1364","uncultured bacterium","HM341905.1.1364_beta_extraction"
"43","Neisseriaceae_Neisseria_JF119465.1.1362","uncultured bacterium","JF119465.1.1362_beta_extraction"
"44","Neisseriaceae_Neisseria_FJ192962.1.1474","uncultured Neisseria sp.","FJ192962.1.1474_beta_extraction"
"45","Neisseriaceae_Neisseria_JQ452073.1.1399","uncultured bacterium","JQ452073.1.1399_beta_extraction"
"46","Neisseriaceae_Conchiformibius_JN713456.1.1494","Conchiformibius sp. canine oral taxon 289","JN713456.1.1494_beta_extraction"
"47","Neisseriaceae_Neisseria_KR870883.1.1473","uncultured Neisseria sp.","KR870883.1.1473_beta_extraction"
"48","Neisseriaceae_Neisseria_JQ457012.1.1330","uncultured bacterium",NA
"49","Neisseriaceae_Neisseria_JQ454311.1.1386","uncultured bacterium","JQ454311.1.1386_beta_extraction"
"50","Neisseriaceae_Neisseria_JQ453131.1.1399","uncultured bacterium","JQ453131.1.1399_beta_extraction"
"51","Neisseriaceae_Neisseria_JQ456409.1.1317","uncultured bacterium",NA
"52","Neisseriaceae_uncultured_HM342312.1.1364","uncultured bacterium","HM342312.1.1364_beta_extraction"
"53","Neisseriaceae_Kingella_JQ458375.1.1401","uncultured bacterium","JQ458375.1.1401_beta_extraction"
"54","Neisseriaceae_Neisseria_JF146311.1.1361","uncultured bacterium","JF146311.1.1361_beta_extraction"
"55","Neisseriaceae_Neisseria_JQ448407.1.1386","uncultured bacterium","JQ448407.1.1386_beta_extraction"
"56","Neisseriaceae_Neisseria_LXSL01000008.227.1777","Eikenella sp. NML02-A-017","LXSL01000008.227.1777_beta_extraction"
"57","Neisseriaceae_Neisseria_HM301914.1.1366","uncultured bacterium","HM301914.1.1366_beta_extraction"
"58","Neisseriaceae_Neisseria_JQ455383.1.1406","uncultured bacterium","JQ455383.1.1406_beta_extraction"
"59","Neisseriaceae_Neisseria_FJ557268.1.1402","uncultured bacterium","FJ557268.1.1402_beta_extraction"
"60","Neisseriaceae_Neisseria_JQ451206.1.1388","uncultured bacterium","JQ451206.1.1388_beta_extraction"
"61","Neisseriaceae_Neisseria_JQ455416.1.1400","uncultured bacterium","JQ455416.1.1400_beta_extraction"
"62","Neisseriaceae_uncultured_AB722199.1.1352","uncultured bacterium","AB722199.1.1352_beta_extraction"
"63","Neisseriaceae_Neisseria_JQ459530.1.1399","uncultured bacterium","JQ459530.1.1399_beta_extraction"
"64","Neisseriaceae_Neisseria_JQ795839.1.1455","Neisseria sp. M-S-TSA_21","JQ795839.1.1455_beta_extraction"
"65","Neisseriaceae_Neisseria_JF121433.1.1363","uncultured bacterium","JF121433.1.1363_beta_extraction"
"66","Neisseriaceae_Neisseria_JQ448526.1.1422","uncultured bacterium","JQ448526.1.1422_beta_extraction"
"67","Neisseriaceae_Neisseria_JQ466742.1.1401","uncultured bacterium","JQ466742.1.1401_beta_extraction"
"68","Neisseriaceae_uncultured_EU289059.1.1447","uncultured Neisseriaceae bacterium","EU289059.1.1447_beta_extraction"
"69","Neisseriaceae_Neisseria_JQ452078.1.1421","uncultured bacterium","JQ452078.1.1421_beta_extraction"
"70","Neisseriaceae_Neisseria_JF141748.1.1362","uncultured bacterium","JF141748.1.1362_beta_extraction"
"71","Neisseriaceae_Neisseria_JQ453059.1.1377","uncultured bacterium","JQ453059.1.1377_beta_extraction"
"72","Neisseriaceae_uncultured_HM301532.1.1367","uncultured bacterium","HM301532.1.1367_beta_extraction"
"73","Neisseriaceae_Neisseria_JQ451958.1.1404","uncultured bacterium","JQ451958.1.1404_beta_extraction"
"74","Neisseriaceae_Neisseria_JF198925.1.1364","uncultured bacterium","JF198925.1.1364_beta_extraction"
"75","Neisseriaceae_Neisseria_KX101082.1.1506","Neisseria sp. 10011","KX101082.1.1506_beta_extraction"
"76","Neisseriaceae_Neisseria_JQ455268.1.1361","uncultured bacterium","JQ455268.1.1361_beta_extraction"
"77","Neisseriaceae_Neisseria_HQ764398.1.1449","uncultured organism","HQ764398.1.1449_beta_extraction"
"78","Neisseriaceae_Neisseria_KF098056.1.1363","uncultured bacterium","KF098056.1.1363_beta_extraction"
"79","Neisseriaceae_Kingella_JQ464631.1.1382","uncultured bacterium","JQ464631.1.1382_beta_extraction"
"80","Neisseriaceae_Conchiformibius_HM333038.1.1362","uncultured bacterium","HM333038.1.1362_beta_extraction"
"81","Neisseriaceae_Neisseria_JF186099.1.1362","uncultured bacterium","JF186099.1.1362_beta_extraction"
"82","Neisseriaceae_Neisseria_JQ466089.1.1404","uncultured bacterium","JQ466089.1.1404_beta_extraction"
"83","Neisseriaceae_Neisseria_JQ453016.1.1405","uncultured bacterium","JQ453016.1.1405_beta_extraction"
"84","Neisseriaceae_Neisseria_JQ453134.1.1380","uncultured bacterium","JQ453134.1.1380_beta_extraction"
"85","Neisseriaceae_Neisseria_JQ453507.1.1403","uncultured bacterium","JQ453507.1.1403_beta_extraction"
"86","Neisseriaceae_Simonsiella_JF146709.1.1362","uncultured bacterium","JF146709.1.1362_beta_extraction"
"87","Neisseriaceae_Neisseria_JQ453068.1.1402","uncultured bacterium","JQ453068.1.1402_beta_extraction"
"88","Neisseriaceae_Neisseria_JQ451966.1.1414","uncultured bacterium","JQ451966.1.1414_beta_extraction"
"89","Neisseriaceae_Neisseria_JQ451338.1.1358","uncultured bacterium","JQ451338.1.1358_beta_extraction"
"90","Neisseriaceae_Neisseria_JQ205676.1.1365","uncultured bacterium","JQ205676.1.1365_beta_extraction"
"91","Neisseriaceae_Snodgrassella_HM108516.1.1506","uncultured Neisseriaceae bacterium","HM108516.1.1506_beta_extraction"
"92","Neisseriaceae_Neisseria_JQ455334.1.1414","uncultured bacterium","JQ455334.1.1414_beta_extraction"
"93","Neisseriaceae_Neisseria_JQ448480.1.1412","uncultured bacterium","JQ448480.1.1412_beta_extraction"
"94","Neisseriaceae_Neisseria_HQ769655.1.1442","uncultured organism","HQ769655.1.1442_beta_extraction"
"95","Neisseriaceae_uncultured_KF066614.1.1320","uncultured bacterium","KF066614.1.1320_beta_extraction"
"96","Neisseriaceae_uncultured_JF216377.1.1364","uncultured bacterium","JF216377.1.1364_beta_extraction"
"97","Neisseriaceae_Neisseria_JQ463250.1.1405","uncultured bacterium","JQ463250.1.1405_beta_extraction"
"98","Neisseriaceae_Neisseria_JF155656.1.1362","uncultured bacterium","JF155656.1.1362_beta_extraction"
"99","Neisseriaceae_Neisseria_JQ453005.1.1400","uncultured bacterium","JQ453005.1.1400_beta_extraction"
"100","Neisseriaceae_Neisseria_JQ455508.1.1404","uncultured bacterium","JQ455508.1.1404_beta_extraction"
"101","Neisseriaceae_Neisseria_JQ455442.1.1411","uncultured bacterium","JQ455442.1.1411_beta_extraction"
"102","Neisseriaceae_Neisseria_JQ455360.1.1360","uncultured bacterium",NA
"103","Neisseriaceae_Neisseria_JQ460243.1.1408","uncultured bacterium","JQ460243.1.1408_beta_extraction"
"104","Neisseriaceae_Neisseria_JQ461342.1.1404","uncultured bacterium","JQ461342.1.1404_beta_extraction"
"105","Neisseriaceae_Neisseria_FJ557306.1.1411","uncultured bacterium","FJ557306.1.1411_beta_extraction"
"106","Neisseriaceae_Neisseria_JQ467104.1.1421","uncultured bacterium","JQ467104.1.1421_beta_extraction"
"107","Neisseriaceae_Kingella_HE681380.1.1530","uncultured bacterium","HE681380.1.1530_beta_extraction"
"108","Neisseriaceae_Neisseria_JF154901.1.1362","uncultured bacterium","JF154901.1.1362_beta_extraction"
"109","Neisseriaceae_Neisseria_JQ456380.1.1380","uncultured bacterium","JQ456380.1.1380_beta_extraction"
"110","Neisseriaceae_Alysiella_KR494280.1.1404","Kingella sp. M12-17630","KR494280.1.1404_beta_extraction"
"111","Neisseriaceae_Neisseria_KM461953.1.1408","Neisseria sp. feline oral taxon 352","KM461953.1.1408_beta_extraction"
"112","Neisseriaceae_uncultured_JF021959.1.1365","uncultured bacterium","JF021959.1.1365_beta_extraction"
"113","Neisseriaceae_Neisseria_JF216679.1.1362","uncultured bacterium","JF216679.1.1362_beta_extraction"
"114","Neisseriaceae_uncultured_HQ400305.1.1504","uncultured rumen bacterium","HQ400305.1.1504_beta_extraction"
"115","Neisseriaceae_Neisseria_JF166056.1.1361","uncultured bacterium","JF166056.1.1361_beta_extraction"
"116","Neisseriaceae_Neisseria_JQ461490.1.1398","uncultured bacterium","JQ461490.1.1398_beta_extraction"
"117","Neisseriaceae_Neisseria_FJ191553.1.1455","uncultured Neisseria sp.","FJ191553.1.1455_beta_extraction"
"118","Neisseriaceae_Neisseria_JQ460131.1.1410","uncultured bacterium","JQ460131.1.1410_beta_extraction"
"119","Neisseriaceae_uncultured_JF225109.1.1367","uncultured bacterium","JF225109.1.1367_beta_extraction"
"120","Neisseriaceae_uncultured_JQ278953.1.1492","uncultured beta proteobacterium","JQ278953.1.1492_beta_extraction"
"121","Neisseriaceae_Neisseria_JQ205327.1.1366","uncultured bacterium","JQ205327.1.1366_beta_extraction"
"122","Neisseriaceae_Neisseria_JF153934.1.1360","uncultured bacterium","JF153934.1.1360_beta_extraction"
"123","Neisseriaceae_uncultured_EU937888.1.1497","uncultured bacterium","EU937888.1.1497_beta_extraction"
"124","Neisseriaceae_Neisseria_JF110298.1.1366","uncultured bacterium","JF110298.1.1366_beta_extraction"
"125","Neisseriaceae_Neisseria_GQ358856.1.1493","uncultured bacterium","GQ358856.1.1493_beta_extraction"
"126","Neisseriaceae_Eikenella_KU663117.1.1493","Eikenella sp. NML97-A-109","KU663117.1.1493_beta_extraction"
"127","Neisseriaceae_Kingella_HK556298.10.1526","unidentified","HK556298.10.1526_beta_extraction"
"128","Neisseriaceae_Kingella_JQ458213.1.1379","uncultured bacterium","JQ458213.1.1379_beta_extraction"
"129","Neisseriaceae_Neisseria_JQ453208.1.1394","uncultured bacterium","JQ453208.1.1394_beta_extraction"
"130","Neisseriaceae_Neisseria_FJ191538.1.1470","uncultured Neisseria sp.","FJ191538.1.1470_beta_extraction"
"131","Neisseriaceae_Neisseria_JQ451393.1.1404","uncultured bacterium","JQ451393.1.1404_beta_extraction"
"132","Neisseriaceae_Neisseria_JQ452758.1.1381","uncultured bacterium","JQ452758.1.1381_beta_extraction"
"133","Neisseriaceae_Neisseria_JQ467228.1.1401","uncultured bacterium","JQ467228.1.1401_beta_extraction"
"134","Neisseriaceae_Neisseria_JQ466290.1.1317","uncultured bacterium","JQ466290.1.1317_beta_extraction"
"135","Neisseriaceae_Conchiformibius_HM267164.1.1359","uncultured bacterium","HM267164.1.1359_beta_extraction"
"136","Neisseriaceae_uncultured_FPLS01029443.11.1406","metagenome","FPLS01029443.11.1406_beta_extraction"
"137","Neisseriaceae_Neisseria_JQ448708.1.1412","uncultured bacterium","JQ448708.1.1412_beta_extraction"
"138","Neisseriaceae_Stenoxybacter_JN032821.1.1461","uncultured bacterium","JN032821.1.1461_beta_extraction"
"139","Neisseriaceae_Neisseria_HE681383.1.1530","uncultured bacterium","HE681383.1.1530_beta_extraction"
"140","Neisseriaceae_Neisseria_JQ467287.1.1405","uncultured bacterium","JQ467287.1.1405_beta_extraction"
"141","Neisseriaceae_Neisseria_L06165.1.1489","Eikenella sp.","L06165.1.1489_beta_extraction"
"142","Neisseriaceae_Neisseria_JQ450806.1.1403","uncultured bacterium","JQ450806.1.1403_beta_extraction"
"143","Neisseriaceae_Neisseria_JQ467095.1.1399","uncultured bacterium","JQ467095.1.1399_beta_extraction"
"144","Neisseriaceae_Neisseria_JQ452082.1.1407","uncultured bacterium","JQ452082.1.1407_beta_extraction"
"145","Neisseriaceae_Eikenella_LXSQ01000018.139.1689","Eikenella sp. NML130454","LXSQ01000018.139.1689_beta_extraction"
"146","Neisseriaceae_uncultured_HM316243.1.1363","uncultured bacterium","HM316243.1.1363_beta_extraction"
"147","Neisseriaceae_Neisseria_JQ451724.1.1398","uncultured bacterium","JQ451724.1.1398_beta_extraction"
"148","Neisseriaceae_Neisseria_JF199136.1.1362","uncultured bacterium","JF199136.1.1362_beta_extraction"
"149","Neisseriaceae_Neisseria_JF203018.1.1363","uncultured bacterium","JF203018.1.1363_beta_extraction"
"150","Neisseriaceae_Neisseria_JQ453419.1.1417","uncultured bacterium","JQ453419.1.1417_beta_extraction"
"151","Neisseriaceae_Neisseria_JF092831.1.1366","uncultured bacterium","JF092831.1.1366_beta_extraction"
"152","Neisseriaceae_Neisseria_JQ453153.1.1407","uncultured bacterium","JQ453153.1.1407_beta_extraction"
"153","Neisseriaceae_Kingella_JQ465144.1.1319","uncultured bacterium","JQ465144.1.1319_beta_extraction"
"154","Neisseriaceae_Neisseria_JQ450486.1.1400","uncultured bacterium","JQ450486.1.1400_beta_extraction"
"155","Neisseriaceae_Neisseria_KF070939.1.1363","uncultured bacterium","KF070939.1.1363_beta_extraction"
"156","Neisseriaceae_Neisseria_FJ470512.1.1499","uncultured bacterium","FJ470512.1.1499_beta_extraction"
"157","Neisseriaceae_Neisseria_JF232289.1.1364","uncultured bacterium","JF232289.1.1364_beta_extraction"
"158","Neisseriaceae_Uruburuella_JX966318.1.1363","Uruburuella testudinis","JX966318.1.1363_beta_extraction"
"159","Neisseriaceae_Neisseria_HM318611.1.1364","uncultured bacterium","HM318611.1.1364_beta_extraction"
"160","Neisseriaceae_Neisseria_JF132957.1.1367","uncultured bacterium","JF132957.1.1367_beta_extraction"
"161","Neisseriaceae_Conchiformibius_AB681799.1.1466","Conchiformibius steedae","AB681799.1.1466_beta_extraction"
"162","Neisseriaceae_uncultured_HM256060.1.1364","uncultured bacterium","HM256060.1.1364_beta_extraction"
"163","Neisseriaceae_Neisseria_JQ452124.1.1401","uncultured bacterium","JQ452124.1.1401_beta_extraction"
"164","Neisseriaceae_Neisseria_HK556623.1.1499","unidentified","HK556623.1.1499_beta_extraction"
"165","Neisseriaceae_Neisseria_JQ455302.1.1390","uncultured bacterium","JQ455302.1.1390_beta_extraction"
"166","Neisseriaceae_Neisseria_JF161676.1.1364","uncultured bacterium","JF161676.1.1364_beta_extraction"
"167","Neisseriaceae_Neisseria_JQ455646.1.1396","uncultured bacterium","JQ455646.1.1396_beta_extraction"
"168","Neisseriaceae_uncultured_JQ923568.1.1491","uncultured bacterium","JQ923568.1.1491_beta_extraction"
"169","Neisseriaceae_Neisseria_JQ453161.1.1406","uncultured bacterium","JQ453161.1.1406_beta_extraction"
"170","Neisseriaceae_Neisseria_JQ452674.1.1294","uncultured bacterium",NA
"171","Neisseriaceae_bacterium 'New Zealand C'_AY721626.1.1495","bacterium 'New Zealand C'","AY721626.1.1495_beta_extraction"
"172","Neisseriaceae_Neisseria_JF142306.1.1362","uncultured bacterium","JF142306.1.1362_beta_extraction"
"173","Neisseriaceae_Neisseria_JQ447724.1.1396","uncultured bacterium","JQ447724.1.1396_beta_extraction"
"174","Neisseriaceae_Neisseria_JQ452943.1.1386","uncultured bacterium","JQ452943.1.1386_beta_extraction"
"175","Neisseriaceae_Neisseria_JQ452741.1.1384","uncultured bacterium","JQ452741.1.1384_beta_extraction"
"176","Neisseriaceae_uncultured_HM344145.1.1364","uncultured bacterium","HM344145.1.1364_beta_extraction"
"177","Neisseriaceae_uncultured_KF101270.1.1369","uncultured bacterium","KF101270.1.1369_beta_extraction"
"178","Neisseriaceae_Neisseria_JF141028.1.1362","uncultured bacterium","JF141028.1.1362_beta_extraction"
"179","Neisseriaceae_Neisseria_JQ453396.1.1410","uncultured bacterium","JQ453396.1.1410_beta_extraction"
"180","Neisseriaceae_uncultured_KF066270.1.1346","uncultured bacterium","KF066270.1.1346_beta_extraction"
"181","Neisseriaceae_Neisseria_JF189534.1.1363","uncultured bacterium","JF189534.1.1363_beta_extraction"
"182","Neisseriaceae_Neisseria_JQ453441.1.1303","uncultured bacterium",NA
"183","Neisseriaceae_Kingella_JF189418.1.1358","uncultured bacterium","JF189418.1.1358_beta_extraction"
"184","Neisseriaceae_Kingella_JQ465165.1.1394","uncultured bacterium","JQ465165.1.1394_beta_extraction"
"185","Neisseriaceae_Kingella_JQ466443.1.1406","uncultured bacterium","JQ466443.1.1406_beta_extraction"
"186","Neisseriaceae_Neisseria_KF071388.1.1363","uncultured bacterium","KF071388.1.1363_beta_extraction"
"187","Neisseriaceae_Neisseria_JQ468497.1.1394","uncultured bacterium","JQ468497.1.1394_beta_extraction"
"188","Neisseriaceae_Neisseria_JF198982.1.1361","uncultured bacterium","JF198982.1.1361_beta_extraction"
"189","Neisseriaceae_Neisseria_KF094703.1.1361","uncultured bacterium","KF094703.1.1361_beta_extraction"
"190","Neisseriaceae_Neisseria_HK556625.1.1473","unidentified","HK556625.1.1473_beta_extraction"
"191","Neisseriaceae_Neisseria_FJ192240.1.1443","uncultured Neisseria sp.","FJ192240.1.1443_beta_extraction"
"192","Neisseriaceae_Neisseria_HQ717293.1.1311","Neisseria sp. C6I2","HQ717293.1.1311_beta_extraction"
"193","Neisseriaceae_uncultured_JF240595.1.1365","uncultured bacterium","JF240595.1.1365_beta_extraction"
"194","Neisseriaceae_Neisseria_FJ191497.1.1460","uncultured Neisseria sp.","FJ191497.1.1460_beta_extraction"
"195","Neisseriaceae_Neisseria_JF197047.1.1359","uncultured bacterium","JF197047.1.1359_beta_extraction"
"196","Neisseriaceae_Neisseria_JQ459316.1.1403","uncultured bacterium","JQ459316.1.1403_beta_extraction"
"197","Neisseriaceae_Neisseria_JQ456129.1.1410","uncultured bacterium","JQ456129.1.1410_beta_extraction"
"198","Neisseriaceae_Neisseria_JQ453469.1.1407","uncultured bacterium","JQ453469.1.1407_beta_extraction"
"199","Neisseriaceae_Neisseria_JF196898.1.1356","uncultured bacterium","JF196898.1.1356_beta_extraction"
"200","Neisseriaceae_Neisseria_JQ453244.1.1398","uncultured bacterium","JQ453244.1.1398_beta_extraction"
"201","Neisseriaceae_Neisseria_CQOL01000008.1926.3346","Neisseria gonorrhoeae","CQOL01000008.1926.3346_beta_extraction"
"202","Neisseriaceae_Conchiformibius_KM462109.1.1532","Neisseria sp. feline oral taxon 145","KM462109.1.1532_beta_extraction"
"203","Neisseriaceae_Neisseria_JQ455292.1.1414","uncultured bacterium","JQ455292.1.1414_beta_extraction"
"204","Neisseriaceae_Neisseria_JQ454255.1.1404","uncultured bacterium","JQ454255.1.1404_beta_extraction"
"205","Neisseriaceae_Neisseria_AGAY01000088.3899.5427","Neisseria shayeganii 871","AGAY01000088.3899.5427_beta_extraction"
"206","Neisseriaceae_Neisseria_FJ823154.1.1436","Neisseria mucosa","FJ823154.1.1436_beta_extraction"
"207","Neisseriaceae_Neisseria_JQ447219.1.1393","uncultured bacterium","JQ447219.1.1393_beta_extraction"
"208","Neisseriaceae_Vitreoscilla_FPLM01005360.9.1530","metagenome","FPLM01005360.9.1530_beta_extraction"
"209","Neisseriaceae_Neisseria_JN713218.1.1532","Eikenella sp. canine oral taxon 049","JN713218.1.1532_beta_extraction"
"210","Neisseriaceae_Neisseria_JQ453276.1.1403","uncultured bacterium","JQ453276.1.1403_beta_extraction"
"211","Neisseriaceae_Neisseria_EF511924.1.1455","uncultured bacterium","EF511924.1.1455_beta_extraction"
"212","Neisseriaceae_Neisseria_JQ454226.1.1402","uncultured bacterium","JQ454226.1.1402_beta_extraction"
"213","Neisseriaceae_Neisseria_JQ455279.1.1354","uncultured bacterium","JQ455279.1.1354_beta_extraction"
"214","Neisseriaceae_Snodgrassella_HM108492.1.1505","uncultured Neisseriaceae bacterium","HM108492.1.1505_beta_extraction"
"215","Neisseriaceae_uncultured_AB199579.1.1450","uncultured bacterium","AB199579.1.1450_beta_extraction"
"216","Neisseriaceae_uncultured_JX105608.1.1495","uncultured bacterium","JX105608.1.1495_beta_extraction"
"217","Neisseriaceae_Neisseria_JQ450569.1.1383","uncultured bacterium","JQ450569.1.1383_beta_extraction"
"218","Neisseriaceae_Eikenella_JQ456088.1.1399","uncultured bacterium","JQ456088.1.1399_beta_extraction"
"219","Neisseriaceae_uncultured_JF228612.1.1362","uncultured bacterium","JF228612.1.1362_beta_extraction"
"220","Neisseriaceae_uncultured_HM467985.1.1462","uncultured bacterium","HM467985.1.1462_beta_extraction"
"221","Neisseriaceae_Kingella_JQ455092.1.1400","uncultured bacterium","JQ455092.1.1400_beta_extraction"
"222","Neisseriaceae_Neisseria_JF155440.1.1362","uncultured bacterium","JF155440.1.1362_beta_extraction"
"223","Neisseriaceae_Conchiformibius_KM462092.1.1532","Neisseria sp. feline oral taxon 078","KM462092.1.1532_beta_extraction"
"224","Neisseriaceae_Neisseria_JF152882.1.1361","uncultured bacterium","JF152882.1.1361_beta_extraction"
"225","Neisseriaceae_Kingella_JF162537.1.1361","uncultured bacterium","JF162537.1.1361_beta_extraction"
"226","Neisseriaceae_Neisseria_JQ452066.1.1406","uncultured bacterium","JQ452066.1.1406_beta_extraction"
"227","Neisseriaceae_Kingella_JQ453058.1.1385","uncultured bacterium","JQ453058.1.1385_beta_extraction"
"228","Neisseriaceae_Neisseria_JQ451973.1.1400","uncultured bacterium","JQ451973.1.1400_beta_extraction"
"229","Neisseriaceae_Kingella_KF101941.1.1359","uncultured bacterium","KF101941.1.1359_beta_extraction"
"230","Neisseriaceae_Neisseria_JQ453420.1.1395","uncultured bacterium","JQ453420.1.1395_beta_extraction"
"231","Neisseriaceae_Kingella_HK556301.7.1527","unidentified","HK556301.7.1527_beta_extraction"
"232","Neisseriaceae_Neisseria_JQ453217.1.1394","uncultured bacterium","JQ453217.1.1394_beta_extraction"
"233","Neisseriaceae_Neisseria_JQ461338.1.1405","uncultured bacterium","JQ461338.1.1405_beta_extraction"
"234","Neisseriaceae_Neisseria_JQ453344.1.1379","uncultured bacterium","JQ453344.1.1379_beta_extraction"
"235","Neisseriaceae_Neisseria_JQ453376.1.1320","uncultured bacterium",NA
"236","Neisseriaceae_Kingella_JQ462988.1.1400","uncultured bacterium","JQ462988.1.1400_beta_extraction"
"237","Neisseriaceae_Neisseria_GQ073105.1.1362","uncultured bacterium","GQ073105.1.1362_beta_extraction"
"238","Neisseriaceae_Neisseria_JF162786.1.1363","uncultured bacterium","JF162786.1.1363_beta_extraction"
"239","Neisseriaceae_Neisseria_JQ468452.1.1398","uncultured bacterium","JQ468452.1.1398_beta_extraction"
"240","Neisseriaceae_Neisseria_JQ477983.1.1411","uncultured bacterium","JQ477983.1.1411_beta_extraction"
"241","Neisseriaceae_Neisseria_JQ455422.1.1411","uncultured bacterium","JQ455422.1.1411_beta_extraction"
"242","Neisseriaceae_Neisseria_JQ453374.1.1395","uncultured bacterium","JQ453374.1.1395_beta_extraction"
"243","Neisseriaceae_Neisseria_KF096428.1.1358","uncultured bacterium","KF096428.1.1358_beta_extraction"
"244","Neisseriaceae_Snodgrassella_LQXR01000035.3793.5311","Snodgrassella sp. CFCC 13594","LQXR01000035.3793.5311_beta_extraction"
"245","Neisseriaceae_Neisseria_JF141732.1.1362","uncultured bacterium","JF141732.1.1362_beta_extraction"
"246","Neisseriaceae_Conchiformibius_KF101497.1.1361","uncultured bacterium","KF101497.1.1361_beta_extraction"
