#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
Cytochrome_CBB3      PF13442.6  CCQ89431.1           -              5e-05    9.9   5.8   0.00016    8.3   0.3   2.2   1   1   1   2   2   2   2 Cytochrome C oxidase, cbb3-type, subunit III
Cytochrome_CBB3      PF13442.6  CCQ91288.1           -            1.1e-20   60.1   0.0   1.4e-20   59.7   0.0   1.2   1   0   0   1   1   1   1 Cytochrome C oxidase, cbb3-type, subunit III
Cytochrome_CBB3      PF13442.6  CCQ91342.1           -              1e-31   95.4   0.0   4.7e-16   45.3   0.0   4.2   4   0   0   4   4   4   4 Cytochrome C oxidase, cbb3-type, subunit III
Cytochrome_CBB3      PF13442.6  CCQ91343.1           -            6.9e-36  108.8   0.0   1.7e-13   37.0   0.0   3.5   3   0   0   3   3   3   3 Cytochrome C oxidase, cbb3-type, subunit III
Cytochrome_CBB3      PF13442.6  CCQ91477.1           -            9.7e-33   98.7   8.9   6.6e-11   28.7   0.0   8.3   7   1   1   8   8   8   6 Cytochrome C oxidase, cbb3-type, subunit III
Cytochrome_CBB3      PF13442.6  CCQ91610.1           -            4.7e-15   42.0   0.0   1.2e-14   40.7   0.0   1.8   1   0   0   1   1   1   1 Cytochrome C oxidase, cbb3-type, subunit III
Cytochrome_CBB3      PF13442.6  CCQ91652.1           -            1.5e-18   53.2   0.0   2.1e-10   27.1   0.0   2.6   2   0   0   2   2   2   2 Cytochrome C oxidase, cbb3-type, subunit III
Cytochrome_CBB3      PF13442.6  CCQ91670.1           -            1.8e-05   11.3   4.5    0.0002    8.0   0.5   2.5   1   1   1   2   2   2   2 Cytochrome C oxidase, cbb3-type, subunit III
Cytochrome_CBB3      PF13442.6  CCQ91672.1           -            5.4e-08   19.4   9.4   1.4e-06   14.9   0.1   3.7   2   1   2   4   4   4   3 Cytochrome C oxidase, cbb3-type, subunit III
Cytochrome_CBB3      PF13442.6  CCQ92026.1           -            8.2e-27   79.7   0.0   1.8e-14   40.2   0.0   2.8   2   0   0   2   2   2   2 Cytochrome C oxidase, cbb3-type, subunit III
Cytochrome_CBB3      PF13442.6  CCQ92027.1           -            9.9e-11   28.2   0.0   1.9e-10   27.3   0.0   1.4   1   0   0   1   1   1   1 Cytochrome C oxidase, cbb3-type, subunit III
Cytochrome_CBB3      PF13442.6  CCQ92028.1           -            1.6e-08   21.1   0.2   5.1e-05    9.9   0.0   3.6   3   1   0   3   3   3   2 Cytochrome C oxidase, cbb3-type, subunit III
Cytochrome_CBB3      PF13442.6  HG422173.1_1250      -            1.7e-08   21.0   1.8   1.2e-07   18.3   1.7   2.2   2   1   0   2   2   2   1 Cytochrome C oxidase, cbb3-type, subunit III
Cytochrome_CBB3      PF13442.6  HG422173.1_1463      -            4.4e-15   42.1   0.0   1.2e-14   40.8   0.0   1.8   1   0   0   1   1   1   1 Cytochrome C oxidase, cbb3-type, subunit III
#
# Program:         hmmscan
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SCAN
# Query file:      GCA_000341545.2_ASM34154v2_protein.faa
# Target file:     Cytochrome_CBB3.hmm
# Option settings: hmmscan --tblout cbb33_gracillis.txt --cpu 60 Cytochrome_CBB3.hmm GCA_000341545.2_ASM34154v2_protein.faa 
# Current dir:     /home/strachan/master/anna/hmm
# Date:            Thu Aug 29 20:31:49 2019
# [ok]
